Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,4_L,30,1573.1381,303.65903,1573.134,303.57153,0.0040283203,0.0874939,0.08758658165814344
Camera L,4_L,31,1580.9258,338.26886,1580.8772,338.30185,0.048583984,-0.032989502,0.05872572500076506
Camera L,4_L,32,1588.9209,373.71417,1588.8004,373.6942,0.1204834,0.019958496,0.12212530804617694
Camera L,4_L,33,1597.1333,410.02838,1597.1733,410.0524,-0.040039062,-0.024017334,0.04669002953089579
Camera L,4_L,34,1605.5729,447.24713,1605.568,447.27176,0.0048828125,-0.024627686,0.025107065804388852
Camera L,4_L,35,1614.2478,485.4084,1614.3204,485.4639,-0.072631836,-0.055511475,0.09141612223759658
Camera L,4_L,36,1511.5656,204.73448,1511.5546,204.71016,0.010986328,0.02432251,0.02668864715509367
Camera L,4_L,37,1518.3065,237.01816,1518.319,237.04114,-0.012451172,-0.022979736,0.026136181105336314
Camera L,4_L,38,1525.215,270.04596,1525.2747,270.06546,-0.059692383,-0.019500732,0.06279696752888321
Camera L,4_L,39,1532.3014,303.84415,1532.3696,303.8563,-0.068237305,-0.012145996,0.06930984758404897
Camera L,4_L,40,1539.5768,338.44144,1539.5745,338.3666,0.002319336,0.0748291,0.07486503696547488
Camera L,4_L,41,1547.052,373.86923,1547.0269,373.82166,0.025146484,0.047576904,0.05381363673731893
Camera L,4_L,42,1554.7379,410.16168,1554.7036,410.16043,0.034301758,0.0012512207,0.03432457053300643
Camera L,4_L,43,1562.6449,447.35544,1562.6271,447.384,0.017822266,-0.028564453,0.033668399640291474
Camera L,4_L,44,1570.7825,485.4899,1570.7789,485.4831,0.003540039,0.00680542,0.007671089679900699
Camera L,4_L,45,1472.173,204.97638,1472.2297,204.98547,-0.056762695,-0.009094238,0.05748659625561303
Camera L,4_L,46,1478.4277,237.26147,1478.4391,237.28954,-0.011352539,-0.028060913,0.03027036482076367
Camera L,4_L,47,1484.8407,270.28458,1484.7966,270.3497,0.044067383,-0.06512451,0.07863292093359515
Camera L,4_L,48,1491.4225,304.07193,1491.4305,304.11487,-0.008056641,-0.042938232,0.04368754126379004
Camera L,4_L,49,1498.1841,338.6526,1498.1597,338.6213,0.024414062,0.031280518,0.03968018684065504
Camera L,4_L,50,1505.1366,374.05832,1505.1763,374.0602,-0.03967285,-0.0018920898,0.03971794500067923
Camera L,4_L,51,1512.2911,410.3238,1512.3774,410.37982,-0.08630371,-0.056030273,0.10289665720063298
Camera L,4_L,52,1519.6586,447.48663,1519.6134,447.48203,0.045166016,0.0046081543,0.045400485167689034
Camera L,4_L,53,1527.2495,485.58734,1527.2856,485.56375,-0.036132812,0.023590088,0.04315173676513575
Camera L,13_L,0,1506.4801,335.39297,1506.4518,335.43124,0.028320312,-0.038269043,0.04760839999245606
Camera L,13_L,1,1472.7936,352.37762,1472.7567,352.37796,0.036865234,-0.00033569336,0.03686676274851387
Camera L,13_L,2,1438.7457,369.54016,1438.6912,369.5703,0.05456543,-0.030151367,0.062341728082055584
Camera L,13_L,3,1404.3563,386.87338,1404.37,386.8399,-0.013671875,0.033477783,0.03616188786845985
Camera L,13_L,4,1369.6411,404.37183,1369.6497,404.46945,-0.008544922,-0.09762573,0.0979989761209646
Camera L,13_L,5,1334.6122,422.03217,1334.6016,422.02502,0.010620117,0.0071411133,0.01279774933228019
Camera L,13_L,6,1299.2775,439.85303,1299.2784,439.87732,-0.0009765625,-0.024291992,0.024311613660017866
Camera L,13_L,7,1263.6404,457.8352,1263.6375,457.7078,0.0029296875,0.12741089,0.12744456685557287
Camera L,13_L,8,1227.7006,475.9815,1227.7676,476.0474,-0.0670166,-0.06588745,0.09398074859732226
Camera L,13_L,9,1481.1134,304.79123,1481.0944,304.69168,0.019042969,0.09954834,0.10135337500280994
Camera L,13_L,10,1447.6504,321.46484,1447.6582,321.5089,-0.0078125,-0.044067383,0.044754545961202874
Camera L,13_L,11,1413.8416,338.31165,1413.8612,338.28714,-0.01965332,0.024505615,0.03141302559959733
Camera L,13_L,12,1379.7047,355.32404,1379.7222,355.4001,-0.017456055,-0.076049805,0.07802747361192651
Camera L,13_L,13,1345.2539,372.49628,1345.2572,372.47528,-0.0032958984,0.020996094,0.021253209152245784
Camera L,13_L,14,1310.4993,389.82452,1310.4758,389.84607,0.0234375,-0.02154541,0.0318358462279714
Camera L,13_L,15,1275.4473,407.30695,1275.4711,407.2704,-0.023803711,0.03656006,0.043626305582463554
Camera L,13_L,16,1240.1002,424.9436,1240.1367,424.94247,-0.036499023,0.0011291504,0.036516485215527285
Camera L,13_L,17,1204.4562,442.7367,1204.4625,442.60876,-0.0063476562,0.12792969,0.12808707071252673
Camera L,13_L,18,1456.308,274.82812,1456.2802,274.80176,0.027832031,0.026367188,0.03833862986807344
Camera L,13_L,19,1423.0741,291.20004,1423.0956,291.1681,-0.021484375,0.031951904,0.038503279825714644
Camera L,13_L,20,1389.5077,307.7407,1389.4747,307.69763,0.032958984,0.043060303,0.05422623279011292
Camera L,13_L,21,1355.6248,324.44226,1355.5985,324.43475,0.026245117,0.007507324,0.02729773054872947
Camera L,13_L,22,1321.4377,341.29868,1321.4501,341.3453,-0.012329102,-0.04663086,0.048233222900708854
Camera L,13_L,23,1286.9553,358.30566,1286.9581,358.3231,-0.0028076172,-0.017425537,0.017650270757746202
Camera L,13_L,24,1252.1824,375.46085,1252.2048,375.46497,-0.022460938,-0.004119873,0.022835653424005044
Camera L,13_L,25,1217.1201,392.76376,1217.1334,392.6669,-0.013305664,0.09686279,0.09777239568431893
Camera L,13_L,26,1181.7655,410.21588,1181.7812,410.2928,-0.01574707,-0.0769043,0.07849994332013847
Camera L,13_L,27,1432.047,245.47725,1432.0415,245.48277,0.005493164,-0.0055236816,0.0077901161919780885
Camera L,13_L,28,1399.0455,261.55545,1399.1451,261.5868,-0.099609375,-0.031341553,0.10442375455657699
Camera L,13_L,29,1365.723,277.79825,1365.7305,277.7453,-0.007446289,0.052947998,0.053469035132253755
Camera L,13_L,30,1332.0939,294.1976,1332.0458,294.24976,0.048095703,-0.05215454,0.07094570323591588
Camera L,13_L,31,1298.1688,310.74713,1298.2,310.723,-0.03112793,0.024139404,0.03939110110720353
Camera L,13_L,32,1263.9551,327.44223,1263.9014,327.4858,0.053710938,-0.0435791,0.0691664868279689
Camera L,13_L,33,1229.4564,344.28003,1229.474,344.29388,-0.017578125,-0.0138549805,0.02238193383747412
Camera L,13_L,34,1194.6729,361.25952,1194.6315,361.29758,0.041381836,-0.03805542,0.05621984819428461
Camera L,13_L,35,1159.6006,378.3816,1159.5823,378.35968,0.018310547,0.021911621,0.028555126786929914
Camera L,13_L,36,1408.3124,216.71349,1408.36,216.69893,-0.047607422,0.014556885,0.049783225203515226
Camera L,13_L,37,1375.5449,232.50473,1375.551,232.53178,-0.0061035156,-0.027053833,0.027733784152171235
Camera L,13_L,38,1342.4663,248.45676,1342.5226,248.5147,-0.056274414,-0.057937622,0.08076866799223607
Camera L,13_L,39,1309.0892,264.56134,1309.1315,264.55325,-0.042236328,0.008087158,0.04300359916663997
Camera L,13_L,40,1275.423,280.8118,1275.3639,280.82367,0.05908203,-0.011871338,0.060262883103444076
Camera L,13_L,41,1241.4736,297.2032,1241.4816,297.22534,-0.00793457,-0.022155762,0.02353370313788364
Camera L,13_L,42,1207.2438,313.73224,1207.2289,313.74683,0.014892578,-0.014587402,0.02084661100389393
Camera L,13_L,43,1172.7324,330.39743,1172.7036,330.36508,0.028808594,0.032348633,0.043317076525205285
Camera L,13_L,44,1137.9347,347.19907,1137.9568,347.25397,-0.022094727,-0.054901123,0.05918031981731556
Camera L,13_L,45,1385.0851,188.51323,1385.123,188.47975,-0.037963867,0.033477783,0.05061637264784565
Camera L,13_L,46,1352.5518,204.02333,1352.5392,203.9908,0.012573242,0.03253174,0.03487693241535552
Camera L,13_L,47,1319.7157,219.69067,1319.6796,219.68715,0.036132812,0.0035247803,0.036304327774194775
