Algorithm,Actual distance,Computed distance,Disparity,Computation time,blocksize
BM_PCL_FilteredLeftDispMap,40,51.52695655822754,-,0.5144309997558594,21
ObjectDetection,40,-,249.0,1.6825788021087646,35
SGBM_LeftDispMap,40,58.17134763815611,223.25,0.4794919490814209,35
SGBM_PCL_LeftDispMap,40,58.18635177612305,-,0.793785810470581,35
SGBM_FilteredLeftDispMap,40,49.264021658942056,258.4501647949219,1.0399630069732666,35
SGBM_PCL_FilteredLeftDispMap,40,49.276729583740234,-,1.3663339614868164,35
BM_LeftDispMap,40,50.87995900942012,251.71875,0.10074496269226074,35
BM_PCL_LeftDispMap,40,50.893083572387695,-,0.4748659133911133,35
BM_FilteredLeftDispMap,40,52.45588341596106,242.8022232055664,0.2681007385253906,35
BM_PCL_FilteredLeftDispMap,40,52.46941375732422,-,0.5924990177154541,35
ObjectDetection,45,-,222.5,1.597726821899414,5
SGBM_LeftDispMap,45,50.898651181569534,251.25,0.5111260414123535,5
SGBM_PCL_LeftDispMap,45,50.911781311035156,-,0.8566069602966309,5
SGBM_FilteredLeftDispMap,45,51.45600043171524,247.44232177734375,0.953679084777832,5
SGBM_PCL_FilteredLeftDispMap,45,51.46927261352539,-,1.2532269954681396,5
BM_LeftDispMap,45,54.51596285733953,237.4375,0.07232999801635742,5
BM_PCL_LeftDispMap,45,54.5300235748291,-,0.40616416931152344,5
BM_FilteredLeftDispMap,45,52.24580480540139,243.7005844116211,0.20190715789794922,5
BM_PCL_FilteredLeftDispMap,45,52.259281158447266,-,0.49352502822875977,5
ObjectDetection,45,-,222.5,1.661794662475586,11
SGBM_LeftDispMap,45,50.82821267554503,251.5625,0.5137999057769775,11
SGBM_PCL_LeftDispMap,45,50.84132385253906,-,0.8956689834594727,11
SGBM_FilteredLeftDispMap,45,51.10140776824429,249.1584243774414,0.997783899307251,11
SGBM_PCL_FilteredLeftDispMap,45,51.11458969116211,-,1.3115630149841309,11
BM_LeftDispMap,45,56.44863918141017,231.34375,0.06688714027404785,11
BM_PCL_LeftDispMap,45,56.46320152282715,-,0.4063758850097656,11
BM_FilteredLeftDispMap,45,51.72457214411986,246.15614318847656,0.23165488243103027,11
